name,lat,lon,odo1,odo2,odo3,hgt,odo
11660,24.04444151,72.39030208,34825,54381,54411,87,54411
11670,24.04455121,72.39032239,34849,54430,54460,87,54460
11680,24.04463948,72.39033835,34869,54469,54499,87,54499
11690,24.04474472,72.39035735,34892,54516,54546,87,54546
11700,24.04485087,72.39037648,34916,54563,54593,87,54593
11710,24.04496182,72.39039624,34941,54612,54643,87,54643
11720,24.04506763,72.39041529,34964,54660,54690,87,54690
11730,24.0451735,72.39043414,34986,54708,54737,87,54737
11740,24.04527842,72.39045271,35009,54753,54783,87,54783
11750,24.04538926,72.39047212,35034,54803,54832,87,54832
11760,24.04549045,72.39048995,35056,54847,54877,87,54877
11770,24.04559338,72.39050818,35078,54893,54922,87,54922
11780,24.04570342,72.39052788,35103,54942,54971,87,54971
11790,24.04580857,72.39054709,35126,54989,55017,87,55017
11800,24.0459147,72.39056658,35152,55037,55064,87,55064
11810,24.04601614,72.39058541,35175,55082,55109,87,55109
11820,24.04611779,72.39060432,35200,55127,55154,87,55154
11830,24.0462236,72.3906238,35223,55174,55201,87,55201
11840,24.04633308,72.390644,35255,55223,55249,87,55249
11850,24.04643898,72.39066381,35285,55270,55297,87,55297
11860,24.04654948,72.39068468,35314,55319,55346,87,55346
11870,24.04666002,72.39070606,35349,55368,55394,87,55394
11880,24.04676658,72.39072681,35383,55416,55442,87,55442
11890,24.04687262,72.39074697,35418,55463,55488,87,55488
11900,24.04697909,72.39076679,35464,55510,55535,87,55535
11910,24.04708463,72.39078658,35506,55557,55582,87,55582
11920,24.04719086,72.39080637,35552,55604,55630,87,55630
11930,24.04729246,72.39082526,35596,55650,55675,87,55675
11940,24.04739761,72.39084501,35642,55696,55722,87,55722
11950,24.04750412,72.39086503,35689,55744,55769,87,55769
11960,24.04761442,72.39088577,35737,55793,55818,87,55818
11970,24.04771629,72.39090469,35781,55838,55864,87,55864
11980,24.04782244,72.39092435,35828,55885,55911,87,55911
11990,24.04792881,72.39094364,35871,55932,55958,87,55958
12000,24.04803068,72.39096235,35916,55978,56004,87,56004
12010,24.04813737,72.39098223,35963,56025,56051,87,56051
12020,24.04824348,72.39100234,36010,56072,56098,87,56098
12030,24.04834672,72.39102194,36055,56118,56144,87,56144
12040,24.0484525,72.39104257,36102,56165,56191,87,56191
12050,24.04855858,72.39106316,36148,56212,56238,87,56238
12060,24.04866165,72.39108324,36193,56258,56284,87,56284
12070,24.04876465,72.39110314,36239,56303,56330,87,56330
12080,24.04886664,72.39112193,36284,56349,56375,87,56375
12090,24.04897329,72.39113975,36331,56396,56423,87,56423
12100,24.04907964,72.39115929,36378,56443,56470,87,56470
12110,24.04918509,72.39117987,36419,56490,56517,87,56517
12120,24.04929165,72.3912006,36474,56546,56573,87,56573
